CA;ResultatNet;ValeurAjoutee;EBE;ResultatExploitation;ActifsEconomiques;FondsPropresNet;TotalBilan;FondsRoulement;BFR;CapitauxPermanents;ActifsImmobilises;ActifsImmobilisesHP;CashFlowNet;Tresorerie;ChargesFinancieres;DMLT;ChargesPersonnel;AchatsConsommes;AchatsTTC;MoyenneStocks;MoyenneCreances;MoyenneDettesFournisseurs;Defaut
14605392;2315154;5853449;4410064;3693014;3635532;5676520;46303080;2704587;1826645;4030375;3436604;3436604;1094651;877942;2594541;5444598;2873239;2191592;3487535;2637960;1666487;2477802;1
53272888;6661838;11972339;8971458;19931451;15557881;9662577;44412253.33;7108976;10340452;10848674;17136417;17136417;4540445;-3231476;6357126;18814407;8169904;9444683;12145854;7502606;9552959;6715113;1
3203319;539512;1074096;767766;1565764;923807;917360;4150092.308;629108;570144;845922;965715;965715;314063;58964;519213;710273;408069;381126;576979;455580;506077;391513;0
62835118;6874740;21770635;15253541;26499322;19654341;10286202;76386000;8835558;4396590;9515764;20154218;20154218;5237732;4438968;7228236;17660955;11446605;11422598;14122323;7997777;6736956;10338143;0
45609392;2494263;18540772;14414222;15830976;11900434;12989752;22675118.18;4673809;4863777;7302822;12103583;12103583;4194870;-189968;6950364;15726461;7101591;5158996;9496441;9094199;4891274;9121696;1
21952023;-328744;9386632;6336325;8624279;5031882;5231738;64173825;2788898;4515957;6207442;3443847;3443847;1647395;-1727059;3190048;6872077;3265619;3663390;3600742;3381743;4067636;2933422;1
14986655;2297998;4414704;3363139;5445771;2983889;2989239;45959960;2561953;2652705;4859083;4041015;4041015;918331;-90752;2257533;5206069;2077282;1626791;3002217;1530891;2706740;1584926;1
33632817;1815063;8387296;5732277;10885454;10185388;11656015;22688287.5;4698196;4984865;6681171;7310688;7310688;1706223;-286669;4820894;11747534;6178935;4542766;7062436;6121274;4962632;6099041;1
69207080;20604685;19224849;13868410;30434853;13677955;20924421;187315318.2;13556005;9564377;18890303;17197667;17197667;5713304;3991628;12137863;14130994;12503370;9623433;13035528;9376327;7643372;7455322;0
26817151;7288171;9651079;7239550;12123687;4129243;8084929;52058364.29;5155789;4686412;7299702;7087847;7087847;2550417;469377;3544876;5628648;5519940;3223408;6538336;3782282;4746377;3842247;0
60813963;10180894;25925501;18597219;26934757;13087861;18021322;203617880;9172507;5541241;18888119;11601361;11601361;6035814;3631266;11049608;14239311;8590287;10637463;11658879;11159785;6512266;12130810;0
2634705;142464;577226;408448;837855;989136;825605;1017600;412749;379653;401258;907403;907403;202544;33096;373849;1016051;406950;370941;495387;474663;275903;370913;1
53352348;2524034;12780059;8740727;18968620;11530234;18943927;16826893.33;9505061;5073114;14389231;11140922;11140922;5222168;4431947;7887426;17005422;9490880;10305864;9366166;6951130;5678941;7556957;1
56427694;13695856;11469310;8351401;18819517;14685540;11813797;91305706.67;10968121;11907409;14920338;9678897;9678897;4130199;-939288;10887771;18446823;8273583;9810998;9136534;8833677;8836668;5762936;1
